,gibbs_diff,Gene_Name,experiment,cell_line,expression,condition,gibbs
71,84.27756136469543,CCNA2,11,TC252,12.03838058,control,-54.218375225460385
72,94.25912328425328,CCNB1,11,TC252,13.34344061,control,-62.585386901814545
73,78.7914148310665,CCND1,11,TC252,15.04537802,control,-62.41931950885259
74,121.10227221040985,CCT2,11,TC252,13.85478073,control,-72.92458180069013
75,137.71391242189566,CCT3,11,TC252,14.58918121,control,-76.47033087931855
76,98.10289289476351,CCT4,11,TC252,12.98089366,control,-66.4312954213623
77,100.00766640284564,CCT5,11,TC252,14.15603536,control,-70.83303788771285
78,107.38804265961515,CCT6A,11,TC252,13.95094412,control,-71.06482831632758
79,117.19530195760308,CCT7,11,TC252,13.58042718,control,-69.68166151051042
80,95.72050413809484,CCT8,11,TC252,13.85369424,control,-69.14569299663235
81,87.05317702062892,CD2BP2,11,TC252,10.96119802,control,-54.09075418893532
